Pair,Metric,MAE,sex,race
P1/P1,Label Train,0.00,(0.50) 0.00,(0.50) 0.00
P1/P1,Label Test,0.00,(0.50) 0.00,(0.50) 0.00
P1/P1,Model Train,0.18,(0.00) -0.08,(0.25) -0.02
P1/P1,Model Test (Unbiased Bridge),0.60,(0.07) -0.09,(0.10) -0.09
P1/P1,Biased Bridge,0.00,(0.21) -0.05,(0.14) -0.07
P1/P2,Label Train,0.93,(0.00) -0.43,(0.00) -0.24
P1/P2,Label Test,0.96,(0.00) -0.47,(0.00) -0.20
P1/P2,Model Train,0.94,(0.00) -0.48,(0.00) -0.26
P1/P2,Model Test (Unbiased Bridge),0.91,(0.00) -0.65,(0.00) -0.33
P1/P2,Biased Bridge,0.00,(0.00) -0.57,(0.00) -0.29
P1/P3,Label Train,0.81,(0.00) -0.49,(0.00) -0.09
P1/P3,Label Test,0.82,(0.00) -0.50,(0.27) -0.04
P1/P3,Model Train,0.82,(0.00) -0.53,(0.00) -0.11
P1/P3,Model Test (Unbiased Bridge),0.83,(0.00) -0.62,(0.04) -0.13
P1/P3,Biased Bridge,0.00,(0.00) -0.55,(0.06) -0.11
P1/Average,Label Train,0.70,(0.00) -0.47,(0.00) -0.25
P1/Average,Label Test,0.71,(0.00) -0.50,(0.00) -0.20
P1/Average,Model Train,0.69,(0.00) -0.53,(0.00) -0.27
P1/Average,Model Test (Unbiased Bridge),0.62,(0.00) -0.72,(0.00) -0.36
P1/Average,Biased Bridge,0.00,(0.00) -0.59,(0.00) -0.29
